Jung-gu,44072,21904,22168,23160
Seo-gu,110350,53941,56409,52786
Dong-gu,90477,44416,46061,44657
Yeongdo-gu,118628,58806,59822,54859
Busanjin-gu,361044,174721,186323,166865
Dongnae-gu,272500,132722,139778,112136
Nam-gu,280852,137667,143185,117397
Buk-gu,293704,145449,148255,120273
Haeundae-gu,411293,198499,212794,168650
Saha-gu,325951,163099,162852,138790
Geumjeong-gu,243870,119008,124862,107024
Gangseo-gu,135048,71570,63478,53731
Yeonje-gu,210443,101654,108789,90266
Suyeong-gu,177897,84349,93548,81452
Sasang-gu,223489,113217,110272,96726
Gijang-gun,166945,83076,83869,69136
